canonical_channel,canonical_unit,fuelcast_mapping,fuelcast_classification,pontos_hub_mapping,pontos_classification,smyril_mapping,smyril_classification,shifts_2_mapping,shifts_classification,utas_wmu_mapping,utas_classification
rpm,min^-1,Propeller_Port/Starboard_RotationSpeed,DIRECT,propeller_speed_rpm,DIRECT,MISSING,MISSING,MISSING (Integrated in power),MISSING,MISSING,MISSING
shaft_power_kw,kilowatts,Propeller_Total_ShaftPower / 1000.0,DERIVED,enginemain_power_kw,DIRECT,MISSING,MISSING,power,DIRECT,MISSING,MISSING
shaft_torque_nm,newton_meters,Propeller_Port/Starboard_ShaftTorque,DIRECT,propeller_torque_nm,DIRECT,MISSING,MISSING,MISSING (Integrated in power),MISSING,MISSING,MISSING
engine_load_pct,percentage,Consumer_Total_ShaftPower / MCR,DERIVED,enginemain_power_kw / MCR,DERIVED,MISSING,MISSING,MISSING,MISSING,reported_engine_load,DIRECT
fuel_mass_flow_kg_h,kg_per_hour,Consumer_Total_MomentaryFuel * 3600.0,DIRECT,enginemain_fuelcons_lph * density,DERIVED,fuelVolumeFlowRate * fuelDensity * 3600.0,DERIVED,MISSING (No fuel target),NOT_APPLICABLE,voyage_fuel_tonnes / duration,DERIVED
wind_speed_ms,meters_per_second,Weather_WindSpeed10M / Ship_AnemometerWindSpeed,DIRECT,anemometer_tws_mps / aws_mps,DIRECT,windSpeed.csv,DIRECT,awind_vcomp / ucomp (knots to m/s),DERIVED,ecmwf_wind_speed,EXTERNAL_JOIN
wind_direction_deg,degrees,Weather_WindDirection10M / Ship_AnemometerWindDirection,DIRECT,anemometer_twd_deg / awa_deg,DIRECT,windAngle.csv,DIRECT,"arctan2(awind_u, awind_v)",DERIVED,ecmwf_wind_direction,EXTERNAL_JOIN
wave_height_m,meters,Weather_WaveHeight (Copernicus),DIRECT,MISSING (Requires Copernicus join),EXTERNAL_JOIN,MISSING (Requires Copernicus join),EXTERNAL_JOIN,comb_wind_swell_wave_height,DIRECT,copernicus_swh,EXTERNAL_JOIN
wave_period_s,seconds,Weather_WavePeriod (Copernicus),DIRECT,MISSING (Requires Copernicus join),EXTERNAL_JOIN,MISSING (Requires Copernicus join),EXTERNAL_JOIN,MISSING (Swell period omitted),MISSING,copernicus_mwp,EXTERNAL_JOIN
wave_direction_deg,degrees,Weather_WaveDirection (Copernicus),DIRECT,MISSING (Requires Copernicus join),EXTERNAL_JOIN,MISSING (Requires Copernicus join),EXTERNAL_JOIN,MISSING,MISSING,copernicus_mwd,EXTERNAL_JOIN
current_speed_ms,meters_per_second,Weather_OceanCurrentVelocity (Copernicus),DIRECT,MISSING (Requires Copernicus join),EXTERNAL_JOIN,MISSING (Requires Copernicus join),EXTERNAL_JOIN,sqrt(rcurr_u^2 + rcurr_v^2),DERIVED,copernicus_curr_spd,EXTERNAL_JOIN
current_direction_deg,degrees,Weather_OceanCurrentDirection (Copernicus),DIRECT,MISSING (Requires Copernicus join),EXTERNAL_JOIN,MISSING (Requires Copernicus join),EXTERNAL_JOIN,"arctan2(rcurr_u, rcurr_v)",DERIVED,copernicus_curr_dir,EXTERNAL_JOIN
water_depth_m,meters,Environment_SeaFloorDepth (Copernicus),DIRECT,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,gebco_depth,EXTERNAL_JOIN
cargo_mass_t,metric_tonnes,MISSING (Inferred from draft),MISSING,MISSING,MISSING,MISSING (Ferry pax/car load),MISSING,MISSING (Telegrams draft only),MISSING,reported_cargo_t,DIRECT
cargo_demand_t,metric_tonnes,NOT_APPLICABLE (Continuous cruise/OSS),NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE (Fixed ferry schedule),NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,reported_cargo_demand,DIRECT
fuel_type,category,Consumer_*_FuelType (DM / RM 380),DIRECT,MISSING (Bunker log required),EXTERNAL_JOIN,MGO / Low sulfur HFO,EXTERNAL_JOIN,VLSFO (implicit),EXTERNAL_JOIN,bunker_type (VLSFO/LSMGO),DIRECT
