sweep_category,sweep_variable,sweep_value,stw_kn,shaft_power_kw,draft_m,wave_height_m,wind_speed_ms,predicted_fuel_ml,lower_bound_q05,upper_bound_q95,uncertainty_width,physics_reference_fuel,physics_ml_disagreement,domain_status,envelope_distance,confidence_risk_flag
One-Factor,shaft_power_kw,5000.0,15.0,5000.0,8.05,1.5,7.5,474.01360086557906,347.07030174904816,477.92734486750896,130.8570431184608,602.6058061588806,128.5922052933015,OUT_OF_DOMAIN,0.4502199462557253,REJECTED
One-Factor,shaft_power_kw,5500.0,15.0,5500.0,8.05,1.5,7.5,474.01360086557906,347.07030174904816,477.92734486750896,130.8570431184608,602.6058061588806,128.5922052933015,OUT_OF_DOMAIN,0.5325736658301506,REJECTED
One-Factor,shaft_power_kw,6000.0,15.0,6000.0,8.05,1.5,7.5,474.01360086557906,347.07030174904816,477.92734486750896,130.8570431184608,602.6058061588806,128.5922052933015,OUT_OF_DOMAIN,0.6153348936340918,REJECTED
One-Factor,shaft_power_kw,6500.0,15.0,6500.0,8.05,1.5,7.5,474.01360086557906,347.07030174904816,477.92734486750896,130.8570431184608,602.6058061588806,128.5922052933015,OUT_OF_DOMAIN,0.6983587655140084,REJECTED
One-Factor,shaft_power_kw,7000.0,15.0,7000.0,8.05,1.5,7.5,474.01360086557906,347.07030174904816,477.92734486750896,130.8570431184608,602.6058061588806,128.5922052933015,PHYSICALLY_INVALID,0.7815615853376354,REJECTED
One-Factor,shaft_power_kw,7500.0,15.0,7500.0,8.05,1.5,7.5,474.01360086557906,347.07030174904816,477.92734486750896,130.8570431184608,602.6058061588806,128.5922052933015,PHYSICALLY_INVALID,0.8648917101229282,REJECTED
One-Factor,shaft_power_kw,8000.0,15.0,8000.0,8.05,1.5,7.5,474.01360086557906,347.07030174904816,477.92734486750896,130.8570431184608,602.6058061588806,128.5922052933015,PHYSICALLY_INVALID,0.9483155809443948,REJECTED
One-Factor,draft_m,5.0,15.0,1850.0,5.0,1.5,7.5,369.96609318174046,345.98839180536083,390.30126110461254,44.3128692992517,602.6058061588806,232.6397129771401,OUT_OF_DOMAIN,0.2956400582723591,REJECTED
One-Factor,draft_m,5.5,15.0,1850.0,5.5,1.5,7.5,369.96609318174046,345.98839180536083,390.30126110461254,44.3128692992517,602.6058061588806,232.6397129771401,OUT_OF_DOMAIN,0.27502895073732386,REJECTED
One-Factor,draft_m,6.0,15.0,1850.0,6.0,1.5,7.5,369.96609318174046,345.98839180536083,390.30126110461254,44.3128692992517,602.6058061588806,232.6397129771401,OUT_OF_DOMAIN,0.2572449445921799,REJECTED
One-Factor,draft_m,6.5,15.0,1850.0,6.5,1.5,7.5,369.96609318174046,345.98839180536083,390.30126110461254,44.3128692992517,602.6058061588806,232.6397129771401,OUT_OF_DOMAIN,0.2429097720944242,REJECTED
One-Factor,draft_m,7.0,15.0,1850.0,7.0,1.5,7.5,370.90118257689824,345.98839180536083,389.8878391352038,43.899447329842985,602.6058061588806,231.70462358198233,OUT_OF_DOMAIN,0.232636038364401,REJECTED
One-Factor,draft_m,7.5,15.0,1850.0,7.5,1.5,7.5,370.90118257689824,345.98839180536083,389.8878391352038,43.899447329842985,602.6058061588806,231.70462358198233,OUT_OF_DOMAIN,0.22683253888799243,REJECTED
One-Factor,draft_m,8.0,15.0,1850.0,8.0,1.5,7.5,370.90118257689824,347.07030174904816,389.8878391352038,42.817537386155664,602.6058061588806,231.70462358198233,OUT_OF_DOMAIN,0.2256123417275866,REJECTED
One-Factor,draft_m,8.5,15.0,1850.0,8.5,1.5,7.5,374.8603047544817,347.07030174904816,389.5031896684751,42.432887919426946,602.6058061588806,227.74550140439885,OUT_OF_DOMAIN,0.2256123417275866,REJECTED
One-Factor,draft_m,9.0,15.0,1850.0,9.0,1.5,7.5,374.8603047544817,347.07030174904816,389.5031896684751,42.432887919426946,602.6058061588806,227.74550140439885,OUT_OF_DOMAIN,0.2256123417275866,REJECTED
One-Factor,draft_m,9.5,15.0,1850.0,9.5,1.5,7.5,374.8603047544817,347.07030174904816,389.5031896684751,42.432887919426946,602.6058061588806,227.74550140439885,OUT_OF_DOMAIN,0.2256123417275866,REJECTED
One-Factor,draft_m,10.0,15.0,1850.0,10.0,1.5,7.5,374.8603047544817,347.07030174904816,389.5031896684751,42.432887919426946,602.6058061588806,227.74550140439885,OUT_OF_DOMAIN,0.2256123417275866,REJECTED
One-Factor,draft_m,10.5,15.0,1850.0,10.5,1.5,7.5,374.8603047544817,347.07030174904816,389.5031896684751,42.432887919426946,602.6058061588806,227.74550140439885,OUT_OF_DOMAIN,0.2256123417275866,REJECTED
One-Factor,draft_m,11.0,15.0,1850.0,11.0,1.5,7.5,374.8603047544817,347.07030174904816,389.5031896684751,42.432887919426946,602.6058061588806,227.74550140439885,OUT_OF_DOMAIN,0.2256123417275866,REJECTED
One-Factor,wave_height_m,0.0,15.0,1850.0,8.05,0.0,7.5,370.8715671643588,347.07030174904816,389.8098444397235,42.739542690675364,602.6058061588806,231.73423899452177,OUT_OF_DOMAIN,0.2256123417275866,REJECTED
One-Factor,wave_height_m,0.5,15.0,1850.0,8.05,0.5,7.5,370.8715671643588,347.07030174904816,389.8098444397235,42.739542690675364,602.6058061588806,231.73423899452177,OUT_OF_DOMAIN,0.2256123417275866,REJECTED
One-Factor,wave_height_m,1.0,15.0,1850.0,8.05,1.0,7.5,371.37529729764213,347.07030174904816,389.8098444397235,42.739542690675364,602.6058061588806,231.23050886123843,OUT_OF_DOMAIN,0.2256123417275866,REJECTED
One-Factor,wave_height_m,1.5,15.0,1850.0,8.05,1.5,7.5,371.8151236309194,347.07030174904816,390.3320362308105,43.261734481762346,602.6058061588806,230.79068252796117,OUT_OF_DOMAIN,0.2256123417275866,REJECTED
One-Factor,wave_height_m,2.0,15.0,1850.0,8.05,2.0,7.5,374.17207293355256,347.07030174904816,390.3320362308105,43.261734481762346,602.6058061588806,228.433733225328,OUT_OF_DOMAIN,0.2256123417275866,REJECTED
One-Factor,wave_height_m,2.5,15.0,1850.0,8.05,2.5,7.5,374.3679477389007,347.07030174904816,392.88681987359246,45.8165181245443,602.6058061588806,228.2378584199799,OUT_OF_DOMAIN,0.2256123417275866,REJECTED
One-Factor,wave_height_m,3.0,15.0,1850.0,8.05,3.0,7.5,374.3679477389007,347.07030174904816,392.88681987359246,45.8165181245443,602.6058061588806,228.2378584199799,OUT_OF_DOMAIN,0.2256123417275866,REJECTED
One-Factor,wave_height_m,3.5,15.0,1850.0,8.05,3.5,7.5,374.3679477389007,347.07030174904816,392.88681987359246,45.8165181245443,602.6058061588806,228.2378584199799,OUT_OF_DOMAIN,0.22668905837150743,REJECTED
One-Factor,wave_height_m,4.0,15.0,1850.0,8.05,4.0,7.5,374.3679477389007,347.07030174904816,392.88681987359246,45.8165181245443,602.6058061588806,228.2378584199799,OUT_OF_DOMAIN,0.23000572723301202,REJECTED
One-Factor,wave_height_m,4.5,15.0,1850.0,8.05,4.5,7.5,374.3679477389007,347.07030174904816,392.88681987359246,45.8165181245443,602.6058061588806,228.2378584199799,OUT_OF_DOMAIN,0.23546849043244675,REJECTED
One-Factor,wave_height_m,5.0,15.0,1850.0,8.05,5.0,7.5,374.3679477389007,347.07030174904816,392.88681987359246,45.8165181245443,602.6058061588806,228.2378584199799,OUT_OF_DOMAIN,0.2429326150705301,REJECTED
One-Factor,wave_height_m,5.5,15.0,1850.0,8.05,5.5,7.5,374.3679477389007,347.07030174904816,392.88681987359246,45.8165181245443,602.6058061588806,228.2378584199799,OUT_OF_DOMAIN,0.2522204809197698,REJECTED
One-Factor,wave_height_m,6.0,15.0,1850.0,8.05,6.0,7.5,374.3679477389007,347.07030174904816,392.88681987359246,45.8165181245443,602.6058061588806,228.2378584199799,OUT_OF_DOMAIN,0.2631390441909297,REJECTED
One-Factor,wind_speed_ms,0.0,15.0,1850.0,8.05,1.5,0.0,371.8151236309194,347.195063055318,390.37569961953244,43.18063656421447,619.3225794962732,247.5074558653538,OUT_OF_DOMAIN,0.2262894599145637,REJECTED
One-Factor,wind_speed_ms,2.5,15.0,1850.0,8.05,1.5,2.5,371.8151236309194,347.195063055318,390.37569961953244,43.18063656421447,617.4708445985375,245.6557209676181,OUT_OF_DOMAIN,0.2256123417275866,REJECTED
One-Factor,wind_speed_ms,5.0,15.0,1850.0,8.05,1.5,5.0,371.8151236309194,347.07030174904816,390.3320362308105,43.261734481762346,611.9071384766373,240.09201484571793,OUT_OF_DOMAIN,0.2256123417275866,REJECTED
One-Factor,wind_speed_ms,7.5,15.0,1850.0,8.05,1.5,7.5,371.8151236309194,347.07030174904816,390.3320362308105,43.261734481762346,602.6058061588806,230.79068252796117,OUT_OF_DOMAIN,0.2256123417275866,REJECTED
One-Factor,wind_speed_ms,10.0,15.0,1850.0,8.05,1.5,10.0,372.00287572994023,347.07030174904816,390.3363737702171,43.26607202116895,589.5235870737463,217.52071134380606,OUT_OF_DOMAIN,0.2256123417275866,REJECTED
One-Factor,wind_speed_ms,12.5,15.0,1850.0,8.05,1.5,12.5,372.00287572994023,347.07030174904816,390.3363737702171,43.26607202116895,572.5988616218292,200.59598589188897,OUT_OF_DOMAIN,0.2256123417275866,REJECTED
One-Factor,wind_speed_ms,15.0,15.0,1850.0,8.05,1.5,15.0,372.00287572994023,347.07030174904816,390.3363737702171,43.26607202116895,551.7505963765674,179.74772064662716,OUT_OF_DOMAIN,0.2256123417275866,REJECTED
One-Factor,wind_speed_ms,17.5,15.0,1850.0,8.05,1.5,17.5,372.00287572994023,347.07030174904816,390.3363737702171,43.26607202116895,526.8769879137448,154.87411218380453,OUT_OF_DOMAIN,0.22889525727320675,REJECTED
One-Factor,wind_speed_ms,20.0,15.0,1850.0,8.05,1.5,20.0,372.00287572994023,347.07030174904816,390.3363737702171,43.26607202116895,497.8538052697746,125.8509295398344,OUT_OF_DOMAIN,0.24017491172909458,REJECTED
One-Factor,wind_speed_ms,22.5,15.0,1850.0,8.05,1.5,22.5,372.00287572994023,347.07030174904816,390.3363737702171,43.26607202116895,463.1171120613984,91.11423633145819,OUT_OF_DOMAIN,0.2584566196748198,REJECTED
One-Factor,wind_speed_ms,25.0,15.0,1850.0,8.05,1.5,25.0,372.00287572994023,347.07030174904816,390.3363737702171,43.26607202116895,423.53149547506393,51.528619745123706,OUT_OF_DOMAIN,0.2823836873672694,REJECTED
Interaction (Speed x Draft),stw_12.0_draft_6.5,12.0,12.0,1850.0,6.5,1.5,7.5,363.5995984594574,309.47107177401057,347.23041856179054,37.759346787779975,395.299527374405,31.699928914947577,OUT_OF_DOMAIN,0.2429097720944242,REJECTED
Interaction (Speed x Draft),stw_12.0_draft_8.2,12.0,12.0,1850.0,8.2,1.5,7.5,368.09747847014387,309.47107177401057,349.78854564059696,40.3174738665864,395.299527374405,27.20204890426112,OUT_OF_DOMAIN,0.2256123417275866,REJECTED
Interaction (Speed x Draft),stw_12.0_draft_10.0,12.0,12.0,1850.0,10.0,1.5,7.5,368.09747847014387,309.47107177401057,349.78854564059696,40.3174738665864,395.299527374405,27.20204890426112,OUT_OF_DOMAIN,0.2256123417275866,REJECTED
Interaction (Speed x Draft),stw_16.0_draft_6.5,16.0,16.0,1850.0,6.5,1.5,7.5,380.4278163510866,391.1640635097522,400.4838897795911,9.31982626983887,687.4370563442387,307.0092399931521,OUT_OF_DOMAIN,0.2429097720944242,REJECTED
Interaction (Speed x Draft),stw_16.0_draft_8.2,16.0,16.0,1850.0,8.2,1.5,7.5,384.0254429340202,396.34553275887833,399.68581834345366,3.3402855845753265,687.4370563442387,303.41161341021854,OUT_OF_DOMAIN,0.2256123417275866,REJECTED
Interaction (Speed x Draft),stw_16.0_draft_10.0,16.0,16.0,1850.0,10.0,1.5,7.5,384.0254429340202,396.34553275887833,399.68581834345366,3.3402855845753265,687.4370563442387,303.41161341021854,OUT_OF_DOMAIN,0.2256123417275866,REJECTED
Interaction (Speed x Draft),stw_20.0_draft_6.5,20.0,20.0,1850.0,6.5,1.5,7.5,401.95402787933676,518.1700460158679,537.9828024006075,19.8127563847396,1113.2697088960176,711.3156810166809,OUT_OF_DOMAIN,0.2448356907589953,REJECTED
Interaction (Speed x Draft),stw_20.0_draft_8.2,20.0,20.0,1850.0,8.2,1.5,7.5,404.73707504307873,528.70118776531,537.18473096447,8.483543199159953,1113.2697088960176,708.532633852939,OUT_OF_DOMAIN,0.2276846214180365,REJECTED
Interaction (Speed x Draft),stw_20.0_draft_10.0,20.0,20.0,1850.0,10.0,1.5,7.5,404.73707504307873,528.70118776531,537.18473096447,8.483543199159953,1113.2697088960176,708.532633852939,OUT_OF_DOMAIN,0.2276846214180365,REJECTED
Interaction (Speed x Wave),stw_12.0_wave_0.5,12.0,12.0,1850.0,8.05,0.5,7.5,364.9102415657268,309.4710477259058,347.2122396865249,37.74119196061912,395.299527374405,30.38928580867821,OUT_OF_DOMAIN,0.2256123417275866,REJECTED
Interaction (Speed x Wave),stw_12.0_wave_2.0,12.0,12.0,1850.0,8.05,2.0,7.5,367.627173061222,309.5820680956417,349.2288905406387,39.646822444996985,395.299527374405,27.672354313183007,OUT_OF_DOMAIN,0.2256123417275866,REJECTED
Interaction (Speed x Wave),stw_12.0_wave_4.0,12.0,12.0,1850.0,8.05,4.0,7.5,367.8769039353956,309.5820680956417,349.65347116761416,40.07140307197244,395.299527374405,27.422623439009385,OUT_OF_DOMAIN,0.23000572723301202,REJECTED
Interaction (Speed x Wave),stw_16.0_wave_0.5,16.0,16.0,1850.0,8.05,0.5,7.5,381.4309925112027,396.34553275887833,399.9924731147021,3.6469403558237445,687.4370563442387,306.006063833036,OUT_OF_DOMAIN,0.2256123417275866,REJECTED
Interaction (Speed x Wave),stw_16.0_wave_2.0,16.0,16.0,1850.0,8.05,2.0,7.5,384.20524280536233,396.34553275887833,400.51466490578906,4.1691321469107265,687.4370563442387,303.2318135388764,OUT_OF_DOMAIN,0.2256123417275866,REJECTED
Interaction (Speed x Wave),stw_16.0_wave_4.0,16.0,16.0,1850.0,8.05,4.0,7.5,384.3311397155032,396.34553275887833,403.069448548571,6.723915789692683,687.4370563442387,303.10591662873554,OUT_OF_DOMAIN,0.23000572723301202,REJECTED
Interaction (Speed x Wave),stw_20.0_wave_0.5,20.0,20.0,1850.0,8.05,0.5,7.5,403.20856302075987,525.954745485655,537.4913857357185,11.536640250063442,1113.2697088960176,710.0611458752578,OUT_OF_DOMAIN,0.2276846214180365,REJECTED
Interaction (Speed x Wave),stw_20.0_wave_2.0,20.0,20.0,1850.0,8.05,2.0,7.5,405.85253670722875,525.954745485655,538.0135775268054,12.058832041150367,1113.2697088960176,707.4171721887889,OUT_OF_DOMAIN,0.2276846214180365,REJECTED
Interaction (Speed x Wave),stw_20.0_wave_4.0,20.0,20.0,1850.0,8.05,4.0,7.5,405.9784336173696,525.954745485655,538.533091731291,12.578346245635998,1113.2697088960176,707.2912752786481,OUT_OF_DOMAIN,0.2320387740237739,REJECTED
Interaction (Speed x Wind),stw_12.0_wind_2.0,12.0,12.0,1850.0,8.05,1.5,2.0,365.5255619109975,309.65248608885764,347.5392720029132,37.886785914055565,409.23366441279467,43.70810250179716,OUT_OF_DOMAIN,0.2256123417275866,REJECTED
Interaction (Speed x Wind),stw_12.0_wind_10.0,12.0,12.0,1850.0,8.05,1.5,10.0,365.35358936130405,309.47107177401057,347.99798174656166,38.526909972551096,383.6321877489589,18.27859838765488,OUT_OF_DOMAIN,0.2256123417275866,REJECTED
Interaction (Speed x Wind),stw_12.0_wind_20.0,12.0,12.0,1850.0,8.05,1.5,20.0,365.35358936130405,309.47107177401057,347.9266322179237,38.45556044391316,303.6275731744724,61.72601618683166,OUT_OF_DOMAIN,0.24017491172909458,REJECTED
Interaction (Speed x Wind),stw_16.0_wind_2.0,16.0,16.0,1850.0,8.05,1.5,2.0,382.2065928525971,392.37073475970936,400.558328294511,8.187593534801636,703.4366205991535,321.23002774655635,OUT_OF_DOMAIN,0.2256123417275866,REJECTED
Interaction (Speed x Wind),stw_16.0_wind_10.0,16.0,16.0,1850.0,8.05,1.5,10.0,382.55709769845936,396.34553275887833,400.51225487634014,4.166722117461802,673.9596872361838,291.4025895377244,OUT_OF_DOMAIN,0.2256123417275866,REJECTED
Interaction (Speed x Wind),stw_16.0_wind_20.0,16.0,16.0,1850.0,8.05,1.5,20.0,382.55709769845936,396.34553275887833,400.51225487634014,4.166722117461802,579.4793349589547,196.92223726049536,OUT_OF_DOMAIN,0.24017491172909458,REJECTED
Interaction (Speed x Wind),stw_20.0_wind_2.0,20.0,20.0,1850.0,8.05,1.5,2.0,403.8030583285157,520.8454339961224,538.0572409155274,17.21180691940492,1130.4406078869133,726.6375495583976,OUT_OF_DOMAIN,0.2276846214180365,REJECTED
Interaction (Speed x Wind),stw_20.0_wind_10.0,20.0,20.0,1850.0,8.05,1.5,10.0,403.6913987838465,525.954745485655,537.0366043562199,11.081858870564815,1098.8278815115818,695.1364827277353,OUT_OF_DOMAIN,0.2276846214180365,REJECTED
Interaction (Speed x Wind),stw_20.0_wind_20.0,20.0,20.0,1850.0,8.05,1.5,20.0,403.6913987838465,525.954745485655,537.0366043562199,11.081858870564815,998.0539346118161,594.3625358279696,OUT_OF_DOMAIN,0.2421225853045264,REJECTED
Interaction (Speed x Power),stw_12.0_pwr_2000.0,12.0,12.0,2000.0,8.05,1.5,7.5,379.55600354867414,309.47107177401057,368.75170741781784,59.28063564380727,395.299527374405,15.743523825730847,NEAR_BOUNDARY,0.0,CAUTION
Interaction (Speed x Power),stw_12.0_pwr_4200.0,12.0,12.0,4200.0,8.05,1.5,7.5,468.1861715363011,309.47107177401057,457.72067236308936,148.2496005890788,395.299527374405,72.88664416189613,OUT_OF_DOMAIN,0.32008707917956275,REJECTED
Interaction (Speed x Power),stw_12.0_pwr_6500.0,12.0,12.0,6500.0,8.05,1.5,7.5,468.1861715363011,309.47107177401057,457.72067236308936,148.2496005890788,395.299527374405,72.88664416189613,OUT_OF_DOMAIN,0.6983587655140084,REJECTED
Interaction (Speed x Power),stw_16.0_pwr_2000.0,16.0,16.0,2000.0,8.05,1.5,7.5,396.46768086633637,396.34553275887833,411.0587561552823,14.713223396403976,687.4370563442387,290.96937547790236,NEAR_BOUNDARY,0.0,CAUTION
Interaction (Speed x Power),stw_16.0_pwr_4200.0,16.0,16.0,4200.0,8.05,1.5,7.5,484.23706695190384,396.34553275887833,487.45796956399306,91.11243680511473,687.4370563442387,203.19998939233488,OUT_OF_DOMAIN,0.32008707917956275,REJECTED
Interaction (Speed x Power),stw_16.0_pwr_6500.0,16.0,16.0,6500.0,8.05,1.5,7.5,484.23706695190384,396.34553275887833,487.45796956399306,91.11243680511473,687.4370563442387,203.19998939233488,OUT_OF_DOMAIN,0.6983587655140084,REJECTED
Interaction (Speed x Power),stw_20.0_pwr_2000.0,20.0,20.0,2000.0,8.05,1.5,7.5,417.8942741400297,525.954745485655,548.5543596474347,22.59961416177964,1113.2697088960176,695.375434755988,OUT_OF_DOMAIN,0.030648949255550097,REJECTED
Interaction (Speed x Power),stw_20.0_pwr_4200.0,20.0,20.0,4200.0,8.05,1.5,7.5,515.645600440934,525.954745485655,598.7668369974933,72.81209151183828,1113.2697088960176,597.6241084550836,OUT_OF_DOMAIN,0.3215510789099812,REJECTED
Interaction (Speed x Power),stw_20.0_pwr_6500.0,20.0,20.0,6500.0,8.05,1.5,7.5,515.645600440934,525.954745485655,598.7668369974933,72.81209151183828,1113.2697088960176,597.6241084550836,OUT_OF_DOMAIN,0.6990309889130232,REJECTED
